7zip	25.01+dfsg-1~deb13u1
libip4tc2:amd64	1.8.11-2
libisl23:amd64	0.27-1
libitm1:amd64	14.2.0-19
libjack-jackd2-0:amd64	1.9.22~dfsg-4
libjansson4:amd64	2.14-2+b3
libjbig-dev:amd64	2.1-6.1+b2
libjbig0:amd64	2.1-6.1+b2
libjbig2dec0:amd64	0.20-1+b3
libjemalloc2:amd64	5.3.0-3
libjpeg-dev:amd64	1:2.1.5-4
libjpeg62-turbo-dev:amd64	1:2.1.5-4
libjpeg62-turbo:amd64	1:2.1.5-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc	8.1.3-5
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:amd64	0.18+ds-1
libjsoncpp26:amd64	1.9.6-3
libjxl0.11:amd64	0.11.1-4
libjxr-tools	1.2~git20170615.f752187-5.3
libjxr0t64:amd64	1.2~git20170615.f752187-5.3
libk5crypto3:amd64	1.21.3-5
libk5crypto3:i386	1.21.3-5
libkeyutils1:amd64	1.6.3-6
libkeyutils1:i386	1.6.3-6
libklibc:amd64	2.0.14-1
libkmod2:amd64	34.2-2
libkrb5-3:amd64	1.21.3-5
libkrb5-3:i386	1.21.3-5
libkrb5support0:amd64	1.21.3-5
libkrb5support0:i386	1.21.3-5
libksba8:amd64	1.6.7-2+b1
liblab-gamut1:amd64	2.42.4-3
liblapack3:amd64	3.12.1-6
liblastlog2-2:amd64	2.41-5
liblcms2-2:amd64	2.16-2
libldap-2.5-0:amd64	2.5.13+dfsg-5
libldap-common	2.6.10+dfsg-1
libldap2:amd64	2.6.10+dfsg-1
libldap2:i386	2.6.10+dfsg-1
liblerc-dev:amd64	4.0.0+ds-5
liblerc4:amd64	4.0.0+ds-5
libleveldb-dev:amd64	1.23-5+b2
libleveldb1d:amd64	1.23-5+b2
liblilv-0-0:amd64	0.24.26-1
libllvm14:amd64	1:14.0.6-12
libllvm19:amd64	1:19.1.7-3+b1
libllvm19:i386	1:19.1.7-3+b1
liblmdb0:amd64	0.9.31-1+b2
liblocale-gettext-perl	1.07-7+b1
liblockfile-bin	1.17-2
liblockfile1:amd64	1.17-2
liblqr-1-0:amd64	0.4.2-2.1+b2
liblsan0:amd64	14.2.0-19
liblsof0	4.99.4+dfsg-2
